n_cores;seq_time;threads_time;ff_time;omp_time
64;246238929.00000000000000000000;65777961.00000000000000000000;68142814.00000000000000000000;69589751.60000000000000000000
65;248873263.80000000000000000000;72698145.00000000000000000000;78165810.20000000000000000000;67745541.40000000000000000000
66;245708865.80000000000000000000;60243150.00000000000000000000;78128607.40000000000000000000;65743378.20000000000000000000
67;250458572.40000000000000000000;63371544.80000000000000000000;67725419.40000000000000000000;61519353.80000000000000000000
68;248911786.40000000000000000000;59327515.20000000000000000000;82897216.00000000000000000000;68143033.40000000000000000000
69;244704403.60000000000000000000;65039980.60000000000000000000;68597811.20000000000000000000;73779793.40000000000000000000
70;247669104.60000000000000000000;57509587.00000000000000000000;79609428.20000000000000000000;61631743.00000000000000000000
71;245106095.80000000000000000000;60462927.60000000000000000000;71135457.60000000000000000000;68431037.20000000000000000000
72;250778857.80000000000000000000;63938490.60000000000000000000;85464865.20000000000000000000;73771072.00000000000000000000
73;244040428.80000000000000000000;63030136.80000000000000000000;78975016.40000000000000000000;73524792.40000000000000000000
74;252828604.80000000000000000000;66440794.40000000000000000000;80130550.20000000000000000000;68222059.80000000000000000000
75;247093597.20000000000000000000;57884417.40000000000000000000;67176834.40000000000000000000;67802525.80000000000000000000
76;249707830.20000000000000000000;63750855.20000000000000000000;81578748.40000000000000000000;72907381.60000000000000000000
77;245701283.80000000000000000000;59221766.20000000000000000000;75478291.20000000000000000000;75150724.80000000000000000000
78;243096731.20000000000000000000;66600727.60000000000000000000;73020851.00000000000000000000;65833965.20000000000000000000
79;251595763.80000000000000000000;65431471.80000000000000000000;74609240.20000000000000000000;64174970.00000000000000000000
80;243459940.20000000000000000000;67172934.60000000000000000000;77737555.40000000000000000000;69204759.80000000000000000000
81;255408814.00000000000000000000;69316028.60000000000000000000;74449447.00000000000000000000;78086843.40000000000000000000
82;243197998.80000000000000000000;62277095.00000000000000000000;79470416.20000000000000000000;76393405.80000000000000000000
83;253738997.80000000000000000000;65012157.80000000000000000000;72676082.40000000000000000000;64119165.20000000000000000000
84;248175164.20000000000000000000;61359140.00000000000000000000;77292118.80000000000000000000;64454772.60000000000000000000
85;246435502.20000000000000000000;59431863.40000000000000000000;80995420.40000000000000000000;73393060.60000000000000000000
86;246691683.40000000000000000000;67484179.40000000000000000000;78235775.80000000000000000000;68830729.00000000000000000000
87;248141581.00000000000000000000;63765076.00000000000000000000;75495112.40000000000000000000;77008235.40000000000000000000
88;240107666.40000000000000000000;68833889.20000000000000000000;83464961.60000000000000000000;68820208.00000000000000000000
89;238543278.80000000000000000000;59929083.60000000000000000000;76821800.20000000000000000000;75801237.00000000000000000000
90;240863888.00000000000000000000;65338564.40000000000000000000;82316328.00000000000000000000;78327942.80000000000000000000
91;251066859.40000000000000000000;74060735.20000000000000000000;97062749.40000000000000000000;75329638.80000000000000000000
92;250020033.60000000000000000000;73298553.00000000000000000000;86214525.60000000000000000000;78824203.20000000000000000000
93;246695262.80000000000000000000;67049203.60000000000000000000;79764819.80000000000000000000;71878317.00000000000000000000
94;251001793.20000000000000000000;74304254.60000000000000000000;77989955.40000000000000000000;71766088.00000000000000000000
95;245395876.40000000000000000000;72939783.60000000000000000000;74618180.20000000000000000000;64633707.00000000000000000000
96;241820705.20000000000000000000;77177148.40000000000000000000;85539530.20000000000000000000;74769252.80000000000000000000
97;249802855.00000000000000000000;72335614.00000000000000000000;87145661.00000000000000000000;82557907.20000000000000000000
98;241898751.20000000000000000000;79014958.40000000000000000000;79606926.80000000000000000000;77851303.60000000000000000000
99;246062830.40000000000000000000;72910521.00000000000000000000;78506257.20000000000000000000;77720813.00000000000000000000
100;250940587.60000000000000000000;72079693.40000000000000000000;76328799.60000000000000000000;73925963.60000000000000000000
101;243045464.40000000000000000000;66962076.40000000000000000000;82191517.00000000000000000000;78547440.20000000000000000000
102;244171496.20000000000000000000;70714242.00000000000000000000;87494069.40000000000000000000;77333301.40000000000000000000
103;252277916.20000000000000000000;70178218.40000000000000000000;95941597.40000000000000000000;76986132.80000000000000000000
104;246218782.00000000000000000000;72803932.20000000000000000000;84707541.80000000000000000000;79907470.80000000000000000000
105;255068863.60000000000000000000;74503970.60000000000000000000;88391562.20000000000000000000;71751546.20000000000000000000
106;254119826.00000000000000000000;65006776.60000000000000000000;77189469.20000000000000000000;81398952.40000000000000000000
107;245959460.80000000000000000000;70253984.60000000000000000000;87806334.80000000000000000000;74452146.40000000000000000000
108;247124615.80000000000000000000;71211322.20000000000000000000;80818005.20000000000000000000;79414370.60000000000000000000
109;243378350.20000000000000000000;65274518.60000000000000000000;84604693.40000000000000000000;82243741.20000000000000000000
110;249393840.40000000000000000000;85217983.60000000000000000000;100607277.80000000000000000000;94790424.00000000000000000000
111;250308454.80000000000000000000;79725655.60000000000000000000;101558454.80000000000000000000;102653044.20000000000000000000
112;251081577.80000000000000000000;77590802.20000000000000000000;99573313.00000000000000000000;88878121.80000000000000000000
113;257424714.40000000000000000000;83459280.20000000000000000000;98809930.40000000000000000000;95017341.80000000000000000000
114;260775247.40000000000000000000;80165892.00000000000000000000;100301852.60000000000000000000;94055623.60000000000000000000
115;251650723.40000000000000000000;91629665.60000000000000000000;98858134.60000000000000000000;96176376.20000000000000000000
116;247438860.60000000000000000000;69443978.00000000000000000000;132979734.60000000000000000000;86810093.20000000000000000000
117;250518931.40000000000000000000;87118438.40000000000000000000;95654053.60000000000000000000;94070664.40000000000000000000
118;254760136.80000000000000000000;86760428.60000000000000000000;90977092.40000000000000000000;112803450.80000000000000000000
119;252603441.20000000000000000000;100321533.80000000000000000000;96717279.80000000000000000000;95765102.40000000000000000000
120;249609057.00000000000000000000;87280071.20000000000000000000;86172400.80000000000000000000;95181734.80000000000000000000
121;249597275.60000000000000000000;91869624.60000000000000000000;94768441.20000000000000000000;91363624.00000000000000000000
122;252979611.40000000000000000000;92584743.20000000000000000000;96715960.00000000000000000000;97634734.80000000000000000000
123;252584079.20000000000000000000;85294349.20000000000000000000;98174298.60000000000000000000;98978524.40000000000000000000
124;249318432.60000000000000000000;89008831.60000000000000000000;97759945.00000000000000000000;96114770.60000000000000000000
125;246110011.20000000000000000000;86991667.40000000000000000000;103249912.20000000000000000000;94604167.60000000000000000000
126;246964520.40000000000000000000;84306968.20000000000000000000;95123669.80000000000000000000;87560373.80000000000000000000
127;250622138.60000000000000000000;84264825.20000000000000000000;89879002.60000000000000000000;97329209.60000000000000000000
128;247393815.40000000000000000000;84784847.80000000000000000000;97371993.00000000000000000000;90832120.60000000000000000000
